"","l.wt","l.wt.1","l.wt.2","l.wt.3","l.LCAD","l.LCAD.1","l.LCAD.2","l.LCAD.3"
"Map3k4",7.51296941939594,7.2670360866172,7.40546984103111,7.56269783176986,7.49331184499875,7.38628367508808,7.5775599109414,7.67418661743189
"Crb1",6.5645174922757,6.52816386251071,6.52224207058703,6.60188961553796,6.42077249181302,6.36983007794389,6.57622909474214,6.31353193132896
"Cdon",4.93870117743149,4.75627182503401,4.86222075989992,4.76233722725865,4.76309351970779,4.86325548580398,4.96039484782912,4.598577984768
"Jph2",7.08185727868669,7.07934706787895,7.19228216068344,7.04860163111862,6.88493682172277,6.67357818862185,6.91711902617955,6.56035178976315
"Zfp108",4.69432205709256,4.92618131005307,4.65757227011445,4.75013256705903,4.72755957234642,4.53141452514808,4.57671210646134,4.7475013712817
"P2ry1",5.43471715495326,5.88161895935516,5.94500106883545,5.87325522706885,5.68850131973014,6.03054862625729,5.59699818439849,5.56571676592978
"Zfp112",6.5921825253401,6.30250348914564,6.36686474043191,6.21384475075428,6.42012259299963,6.28093386431226,6.38805811088387,6.22419263771193
"Lrp8",5.42458286723662,5.39616483339329,5.50432731123373,5.09796426416898,5.31089258737889,5.0186166833139,5.43014956225627,5.23419426300845
"Dsc1",3.92541377432931,3.96229655233605,4.03048952210663,4.03314500816935,3.84523792109206,3.82313149779296,3.99609158936781,4.02966737465263
"Mpl",6.2686500387331,6.32372752777546,6.28353055117081,6.24169124544619,6.08765862077724,6.12761401821542,6.25564002014122,5.104267626883
"Siglece",5.66216658282885,5.69712882095219,5.67673727407923,5.63248829696559,5.54787392556229,5.48184537118704,5.71569353136707,5.79172370458097
"Nkx3-2",4.57533508442308,4.51235009828287,4.38408939745204,4.34862810030314,4.51667688201212,4.4968352468746,4.59302473444726,4.57312581463399
"Wnt2b",5.10130360449033,5.51804503039802,5.6536007257131,4.99655009147583,5.18261960482789,5.40890984443291,5.00198126259648,5.23980143260319
"Asb10",5.36890311537211,5.61787364752402,5.74053192492201,5.68502805898822,5.55868152283329,5.46367453652283,5.63972995766977,5.65372513196266
"Runx3",5.58475960746476,5.81767748545479,5.96802852583733,6.06685361627449,5.73593949120939,5.67811867923267,5.75485560222045,5.74705219999082
"Kcnj3",5.58902313698214,5.70873501394524,5.76817897753035,5.59333225589797,5.66296385476937,5.62283037173428,5.61001158850757,5.45711521813342
"Grpr",4.58654710692992,4.36907598881173,4.56218819618832,4.49135678799649,4.414272318621,4.31224759405014,4.23663381955342,3.66662628905475
"Npy1r",4.22467386171906,4.24044534910047,4.22845462375057,4.0220606860536,4.22109498407922,4.07080988089295,4.23800833545977,4.26635404208676
"Srrm3",5.34331081023169,5.16505531053457,5.50937218088669,5.33599189116736,5.24094573280741,4.98888919417834,5.14186484805283,5.2026348539559
"Il1a",4.93755917951507,5.23699766457306,4.68207742616795,4.84590242715174,4.54628182477763,4.97104934338649,5.22628887201558,5.0497636184879
"Ms4a2",4.21409557804519,4.53012419288637,4.3515124339763,4.13990786888885,4.2055397623462,4.13949970094535,4.37497525606308,4.09460260972396
"Cplx2",6.54876088636864,6.84136105099347,6.66684724026861,6.39568510179715,6.17625761848669,6.45354177757155,6.37133118458221,6.47446589628207
"Bsnd",5.8793792607798,6.04433772199545,6.00826447605748,5.88263270593489,5.96678066966032,5.99911883037916,5.94336181048978,5.912716441917
"Lhx4",5.57371040720106,5.7240876801386,5.65612792715534,5.39689976289436,5.62827352199153,5.46043826849589,5.56635859358578,5.51772115889707
"Ugt2a1",4.22867587585428,4.3573956220754,4.28313162859472,4.76839968057155,4.4393249276024,4.56360246574739,4.68282175882379,4.08248136594187
"Ttbk2",4.56453182020942,4.70646767154478,5.13070205441199,4.70620396146938,4.91345974049994,4.76933294092515,4.88255218116512,5.02865122966254
"Egr3",7.14880987614101,7.27411123288536,7.23853591351325,7.12787529050213,7.23768187313981,6.90295605536915,7.10749580402907,7.14252994754063
"Nck1",7.3530207716815,7.43983847031463,7.18014025093793,7.30055308214697,7.62848641257602,7.3778082463612,7.30201068580397,7.91700221278607
"2010106E10Rik",3.70892241472691,3.64232254026737,3.89240268400804,3.58239317882654,3.45850878564937,3.71093269670034,3.61373283827145,3.55115274496502
"Prpmp5",3.64289434182205,3.70512596263369,3.64023857244071,3.70278485394876,3.66624326465097,3.53902216745525,3.77291220923945,3.66761877048689
"Vmp1",10.3869801101331,10.1182072393662,9.97300388102554,9.91637124502699,10.271077528209,9.98334130497349,10.1755100303553,9.58013917035701
"Hpgds",5.06832415250887,5.23770041759739,5.08542822559273,5.22026006297084,4.9947385567392,4.81960054280904,5.11899006124855,4.86743492539053
"Rgs20",3.97343402711227,4.07246771543071,4.12426758024686,3.75869887249214,3.89076924439837,3.79219703763205,4.02976798261833,3.85822842098284
"Krtap4-2",3.94197917790109,3.81799155816634,3.93882465499956,3.73203633038019,3.72266951755583,3.96481160346503,3.88216262528777,3.78582718997438
"Acer2",6.51049866386927,6.82870517167703,5.88263877017529,6.29306508952666,5.53162651070004,5.67514662451777,5.70959684502772,4.11527342235205
"Gpha2",4.98111440722066,5.08176143135899,5.14173073293085,5.10444263529351,5.06949088465752,5.08571476379701,5.08947793906881,4.98320294986374
"2010204K13Rik",4.88028806826816,5.06898115446409,4.56747535549376,5.03961473809259,4.94364883863004,4.84461212348283,4.78254454510806,4.94449707102098
"Ptpn14",4.90116816093175,4.82146731371457,4.59155471942405,4.70376146963409,4.72064935327758,4.79447778393288,4.56156213619273,4.98454615088755
"Sts",8.84614275414325,8.68662833309722,8.66233252045418,8.76689342876505,8.87367341820441,8.91118523168338,8.8472118518663,9.13371465476142
"Usp26",4.4023766716731,4.2697305299059,4.37639235759898,4.35253043805198,4.15360123702961,4.46278480457606,4.41276025728299,4.24529317844034
"Pcdh15",5.13804910358171,5.08035272110396,5.10806648523543,5.14453315625906,4.86167334625858,4.72881704224908,4.82842066553925,4.90403363697833
"Sp4",4.90164200902267,5.00575810176857,5.1125661560325,4.96339743252225,5.05087710193111,5.26091443542594,4.96287923643973,5.228160902454
"Mixl1",5.07398128526856,5.09312722663713,4.92173813023503,5.29393382578618,5.28099341970781,4.99409864007355,5.07763481519812,4.80533316627049
"Olfr78",4.53708200795467,5.07621206095448,5.13631481905773,5.02357446670104,4.79976180522728,4.73622128714834,4.89221308255163,5.08723835741089
"Tenm1",4.50133805742183,4.13218403727174,4.19627615249506,4.20432706850795,3.92805341647684,4.21169372925645,4.36017089749577,4.11963555801347
"Tmprss15",3.65074181581518,3.6781759331997,3.87875074288909,3.68767930160993,3.65691127162616,3.85406857825653,3.57800977725028,3.66770368855252
"Itgb3",5.3307322730257,5.23571963193046,5.26269961665781,5.14138741987659,5.02574535591389,5.30618421074283,5.41963104577239,5.21036918623763
"Cep250",5.68772895610903,6.03859003926588,6.08059605758741,5.86676125383749,5.74864290023797,5.84645507927543,5.83042525479089,5.82533026221505
"Tdrd1",4.24067442381918,4.0945086188594,4.36441225624133,4.41665081484122,4.46375943575996,4.02154972840257,4.17149348012435,4.206018394868
"Scml2",4.35882854149407,4.23475651338003,4.21185481779375,4.547690422777,4.26072973917336,4.42173342141141,4.43845800675156,4.1135834921189
"Nr6a1",5.31022106063622,5.42990683374685,5.45919755516918,5.28913299072505,5.65230723681068,5.64311458379057,5.35877993672747,5.54445027050263
"St6galnac1",3.88403059685763,3.98830221965541,4.06213233516191,3.98483758556175,4.0282649342396,3.89231825784354,3.80548696896461,3.87637618177499
"Kcns1",5.13997550377587,4.93513491626735,5.62814001734177,4.94261265218038,5.01505562461596,5.1176539053295,5.32511574002548,5.23387234195072
"Zfp120",5.0018544740932,4.94547127366002,5.20392850790913,5.39616483339329,5.14760627928489,5.10442405764606,5.07308571970784,5.62111565342389
"Jph1",5.20209689980353,5.05207396134212,5.16326805975278,5.17954345481275,4.9950255874616,5.15467555361503,4.90376849786027,5.16114373697486
"4930430A15Rik",3.73340060373934,3.59803820344829,3.64637610722658,3.68539211170577,3.83998467323967,3.8470718826196,3.59081049877409,3.64737875582872
"B4galnt2",4.54317383943613,4.55062428575571,4.54678533555397,4.78357409773821,4.58351896350655,4.66607336514747,4.66056056224391,4.55397130744066
"Fgf17",4.16714401274905,4.05088299915253,4.32061836300825,4.00918922326573,4.16183924247322,4.17749265261886,4.05763057613451,4.49734206648671
"Cfc1",5.4633970181389,5.35024263137487,5.4132142012306,5.57358454060362,5.46378702611909,5.57392600585828,5.41694503589659,5.41880613323071
"Naip5",4.74103643274726,4.80060382593163,4.39931624488601,4.37267683161947,3.99375776939175,4.04540059446689,3.99426200669955,4.64979845705877
"Tll2",3.9487138105775,3.83711915708246,3.82833880917614,3.93830536647849,3.76158835643277,3.75138927069591,3.99075931206233,3.98739691014539
"Epha6",4.05115220013954,3.90651082829419,3.95711021584342,3.87497421866386,4.03046321358044,3.82766580633209,4.2434434899185,3.78281877300593
"Med22",6.91141032478539,6.61507223892147,6.95280406638026,6.91325666786302,7.30096584421056,7.2249093697054,7.14358902890321,6.99531412155591
"Grm8",4.04533960536783,4.2356844062809,4.34003551085303,4.31546261802525,4.39174847656301,4.34523533358917,4.45414166826245,4.21238093578927
