"","h.wt","h.wt.1","h.wt.2","h.LCAD","h.LCAD.1","h.LCAD.2","h.LCAD.3"
"Gprc5b",6.43233171510186,6.27091200927942,6.49634598717564,5.93161250414372,6.13460574746738,5.98271230728049,5.96180095728072
"Ift20",8.46782776506052,8.22874078286015,8.36161222273768,8.5577974262338,8.61689754789013,8.71885014846906,8.63909147625542
"Nop16",6.72714989049434,6.52210472561601,6.41615548995408,6.43528362936245,6.66173215165607,6.76598108402103,6.77039267709317
"1810011O10Rik",10.3355054753784,10.2732658534241,9.87153915931574,9.42049406576595,9.70210080861206,9.49120526097411,9.64755437507657
"Tgm1",4.56244228089032,4.75606159178273,4.47916225408521,4.60796170607182,4.69304797688958,4.90766290395884,4.70795916841899
"Brca1",4.4727457438615,4.57970135911992,4.32939233601536,4.34773716926183,4.56150197138211,4.45186034337692,4.30270327363334
"Spsb4",6.71198944051484,6.58815281195098,6.77495068751257,6.83568918781671,7.56299407096469,6.94286334904674,6.76718550839528
"Ccdc47",9.76933006229202,9.66158468049408,9.64790943506314,9.77278815218624,9.7944786742062,10.0458651189452,9.88083292139981
"Rogdi",8.14760119182004,8.03301425346382,8.05947685277999,8.14779277336314,7.9295997616861,8.08295821421899,7.88794376218932
"Myo18a",9.89433001357316,9.8803691664676,10.0798596758212,9.9973688539942,9.87079815658258,9.90222926979127,9.72051908817635
"Gabrp",5.01096871025334,5.1097186602398,4.99919486425542,4.8037657245766,4.86114364467946,4.92564081207059,4.88691838261983
"Egfl7",9.22248673685699,9.05101434752756,9.37967502593712,9.12463403674439,8.9698872115271,8.88636444112156,8.93959129059127
"Gfod2",6.677423955743,6.71932604608396,6.56642536064037,6.59654326631214,6.70883131020458,6.53612705410324,6.56411076349076
"Dbndd2",8.24537091998158,8.37866117373212,8.10169209246305,7.78236203831055,7.75181717457071,7.80373482273784,7.90040446785447
"Mfsd3",6.47894333902036,6.70274978649581,6.74940246153461,6.74491266231992,6.68113086460669,6.83165028254758,6.82402085893281
"Cux1",7.04215311702159,6.98242398891113,7.10099044465052,7.13257091025303,7.12307927357885,7.203294784539,7.13458666609359
"Zdhhc20",5.0372820557764,4.80497746375809,4.80482820048915,4.64893056241274,4.85810565849211,4.60479207587058,4.66811032912267
"Clec2h",5.0429189455187,5.19374144372339,4.98104154853303,4.9761001562203,5.08245848680019,5.04114419358401,5.04105461516177
"Chodl",4.15227218507418,3.70691871844358,4.04981745223212,3.96355652170396,3.83426826834302,3.77101589728959,3.82037760656935
"Lypd8",4.76814080502609,4.91915036462907,4.47490025287592,4.75788449814215,4.38105490462389,4.60848430406683,4.53861141392804
"Ccdc104",8.00233364324327,8.15011790543735,8.16344841419554,8.19933027760553,8.36054425100573,8.49303442023279,8.79749302868576
"Nfix",5.59399727024002,5.68195751494214,5.82749286247307,5.7103846836613,5.66667344140713,5.80803655292091,5.84949449804078
"Umps",6.50418991362566,6.62206776473689,6.46153054569824,6.49023677354726,6.51624111789952,6.55032135199269,6.31436708469984
"Mettl23",8.94515702467761,8.78242678198266,8.70084670187723,9.11661245949012,9.13507461718455,9.06354042212184,9.06341269015042
"Erlec1",8.38832397616989,8.36644706754124,8.55845423544832,8.58614030717517,8.32007969809463,8.50421008752202,8.49702806838229
"Gca",7.00006786142614,6.73019318108575,7.2799711285104,7.1722165146947,7.26583507878728,7.28424019654216,7.34874313870973
"Dapk2",6.67535591413017,6.86333037892907,6.39149337426247,6.14030504039287,6.39431340117624,5.88870097792303,6.08476247589462
"Thnsl2",6.64626600146875,6.50888877097894,6.52337847121584,6.57372246316046,6.568610100961,6.48742814386752,6.71389015872577
"Slc22a7",5.25185828134994,5.35471202821908,5.16836500573881,4.97231479301813,5.05435230250353,5.27720027313439,5.11551709906333
"Prr5",4.39603519378717,4.44243531237884,4.53549524058996,4.54283136067822,4.5105610094956,4.58615637775582,4.56493233506533
"Mfap3",5.1103192234504,4.9629276691102,4.75270698489493,4.78980013259042,4.92731015681123,4.9740547144094,4.75485100686065
"Ubl7",9.24347691762456,9.25185769921606,9.33716761566899,9.2655277789607,9.15048986542403,9.27125921532557,9.14612186111408
"Xpo5",7.09662450559614,7.05220219564273,7.10338590833944,7.2837782733005,7.23875763096195,7.15443131369292,7.25774243806909
"Cntln",6.51176925454631,6.58161878986114,6.67079969720886,6.4398179214796,6.51034310453136,6.57634594725125,6.59157941744792
"Ears2",5.77974073116276,5.84772409618471,5.81751047220871,5.67723006874935,5.53120625741473,5.58103060269783,5.72842329585749
"Cryzl1",8.0311307654447,8.07106393063811,8.13008879468499,8.03543844772,8.06188482756954,8.10721309934572,8.09654439253156
"Parp8",6.45238780503525,6.37767125144226,6.51301866578963,6.48258872301221,6.342895503535,6.30610836544173,6.30595921569584
"Plxnd1",9.06136984245324,9.03229896864646,9.1596241405774,8.79521845086737,8.9839963838434,8.70189094264018,8.74499699741842
"Zdhhc8",7.06308461227104,6.93733690556059,7.10196926479142,7.04558188637883,6.93706138145602,7.09891459492082,6.90960259592461
"Angptl7",6.07818604055982,6.58489231791158,6.32479278559476,6.57536981948701,6.50403493348077,6.3613805479227,6.44801709580195
"Tmem53",8.93487736609928,8.60258481801871,8.91814618274922,8.61960411981617,8.9809360396621,8.79943559792702,9.02732852661816
"E2f4",6.69008446066518,6.5688795608,6.55579759987217,6.72170444665043,6.76180983063575,6.75354717710182,6.68625594863327
"Slc51a",4.94631001271015,5.2772202882557,5.00674243479426,5.18651244271505,5.2309857213487,5.21169053689005,5.31661410760023
"Zfp940",5.21932025688964,5.41818893576461,5.18620300280283,4.95265576024126,4.97595125382453,5.04065795173691,4.90131236895564
"Syn1",5.35781905442144,5.55604174254105,5.4627131953479,5.2236700574824,5.36597242759338,5.61260981343574,5.34615414481778
"Slc46a3",6.76637219458536,6.56667605202377,6.70425946351558,6.74958273658158,6.42786217480512,6.60064456404762,6.51800488888906
"Fitm1",10.8689193741078,10.9314040603941,11.1320209581968,10.6287040719827,10.5105915088174,10.6838780077374,10.6524906179225
"Slc25a35",6.22337447217117,6.58195360025434,6.31319096955028,6.33271938923813,6.22749667248545,6.41061874105876,6.3232583675686
"Lyplal1",6.88237135696857,6.8190408272703,6.46451340419717,6.93912128724351,6.8811679345128,7.00781589284321,6.99929482319524
"Bcdin3d",5.69201139247755,5.55289038343034,5.80020615265325,6.23747251453178,5.72870017020681,5.93810753792336,6.16884469976098
"Sla2",6.07203246304808,6.28847318323141,6.0122092957804,6.08716302655634,6.12659400824261,6.4350971523977,6.1193723636884
"Wac",8.43664223698353,8.48377144796464,8.49473584483201,8.45054476261995,8.43947098587368,8.48471285059018,8.31980351535679
"Csnk1a1",10.2233984955653,10.3151133732581,10.3019137947522,10.3365832538055,10.3380254166387,10.3358508559998,10.3359387403319
"Lrrc26",3.8994538929417,4.00613174977538,3.99330091532581,4.012480267734,4.05894660613717,4.01914589831015,4.11098105095683
"Cadps2",4.67802710197331,4.70298144857535,4.52031896169406,4.37875124332268,4.29762137247793,4.57266233511535,4.5310669343112
"Ushbp1",8.56797603350921,8.39799406523438,8.63660526365118,8.35027313458422,8.27585226870907,8.03427900356524,8.08217619144788
"Pla2g10",5.96851351958274,6.02030941729333,5.82578468635524,5.80642227899467,5.90903621042845,5.99234913190771,5.84065721673146
"Nol3",8.18848796478933,8.42637253341609,8.21399314176288,8.17336468092618,8.17750544929133,8.20228390755955,8.36066253906449
"Mef2c",7.61523922489099,7.64604117239619,7.82683880077382,7.89564739442843,7.63180815658259,7.69583513436764,7.81688472711936
"Larp1b",9.74732210494511,9.63185603595245,9.69084831699584,9.87183756643813,9.83978358458239,9.9328737078335,9.87339689347212
"Hibch",9.64158257827168,9.71056118052138,9.70827374545742,9.83470104116915,9.89158364829128,9.96694504281602,9.98238476295229
"Usp43",4.5051266132739,4.63091141526474,4.78127797597747,4.89708072782383,4.86469648360055,4.78025001174863,4.64669417852846
"Glyat",4.78171331408861,4.65627316058453,4.63618241648311,4.6022887436271,4.52379209962089,4.64626075420473,4.50611292576326
"Rhebl1",5.8520484413904,5.82876395974031,6.43047195473792,5.92863799037017,5.56534721094035,5.78388649144127,5.90009261552861
"Rhobtb2",7.05879053267026,6.87887759612765,6.98026607216562,6.72480345445993,6.75243082637728,6.60643393675697,6.52955439805024
"Zfp709",4.502450906161,4.53804871895413,4.37269786317662,4.55431551181399,4.98726269303647,4.65102768912744,4.84052950064339
"Mif4gd",8.27087303643587,8.23353483804524,8.34448908294592,8.44914435237093,8.3699665766137,8.43049340653792,8.34499542320197
"Fbxw2",6.6133657673384,6.68665115208962,6.68041717389749,6.6514649031176,6.65358886056225,6.68161828434229,6.80648955822373
"Arhgap12",6.87312332483412,6.68642064448802,7.11460072553453,7.02486648216918,6.87502483987489,6.90726466798848,6.8753082231657
"Pcolce2",8.09933655286652,7.9422430654701,7.8430743380548,8.0314846340669,8.38340570145343,8.28396227347682,8.26651006010881
"Tmem82",7.46536967880607,7.13375338480344,7.2882156884405,7.30842012825629,6.61590148902695,6.6707129645056,7.22028351545056
"Sgtb",5.5750899182307,5.11734388319958,5.44337756567035,5.10586984068388,5.40381953628219,5.59079930320521,5.48696521414038
"Cbwd1",6.47639886240597,6.43359702439086,6.6211242419066,6.69984823066022,7.00093035096965,6.89407537240931,7.10347130755093
