"","b.wt","b.wt.1","b.wt.2","b.wt.3","b.LCAD","b.LCAD.1","b.LCAD.2","b.LCAD.3"
"Ddb1",9.96087554092416,9.78612322670335,10.0433148367053,9.9141139996134,10.0144643725787,9.92398746770836,9.91492942633034,9.98580172878835
"Txndc12",9.41767976079486,9.47546764260615,9.76848408301575,9.48461347182742,9.77376182197056,9.7861023110698,9.71233371106473,9.5682945653304
"Psmc5",9.95341115141453,9.96382045059319,9.93675894365475,9.88390352712223,10.0246095998921,9.88100620584332,9.67703635759206,9.75830167787757
"Tmem165",8.70437522647975,8.67792509215136,8.43651675474849,8.47262764761303,8.56852536192972,8.4903841661089,8.35682682414752,8.8544283409096
"Aup1",8.63954453485149,8.49794194770266,8.43242748240948,8.39611332497098,8.62984373886358,8.51321602941412,8.3898143235469,8.56305781261841
"Hdac5",8.48831556257019,8.51946249000658,8.07229797190068,8.43706124400316,8.14669604984399,8.01843266075109,8.34722705923875,8.56581877214617
"Pfdn6",10.2141885679942,10.0493736068486,9.98545745165193,9.98171710891935,10.2317037187038,10.2880754313528,9.78397075859166,10.1167744959695
"Dscr3",8.10518263205948,7.98406407912413,7.78032296144182,8.06149486622235,8.17570392883378,8.1303482599633,8.31895068338426,8.39438251883939
"Cic",8.04238896522689,8.17677304584779,8.0569285547899,8.01990313946718,8.07467079991548,8.0287017467505,8.12329103207073,7.91174406434197
"Dctn5",9.12890054901658,9.15412519595484,9.35409727926311,9.27866071278008,8.12513358374619,8.18984595211019,8.12925251392736,8.37953753131153
"Rragc",10.8687048198838,10.9064359247518,11.1362896457214,11.0000581152069,11.3948602920169,11.0983284894833,10.713218691989,10.942951206365
"Tbl3",7.21222681375114,7.29574157230759,7.31100187061468,7.35846712191952,7.11261413138486,7.20201585035479,7.10953148272943,6.99603752135262
"Hp1bp3",9.64916616347445,9.58393477808837,9.63642029073299,9.6769304354534,9.82154839378375,9.70929241082726,9.72891995716415,9.84098724865076
"BC031181",10.5882797005229,10.2778357757683,10.6674013828659,10.4935864946114,10.7096519019064,10.688805508726,10.6132240602955,10.414459143023
"Abhd17a",9.01326655589413,8.9537858983542,9.09156126952795,9.14404297809617,9.0977793259229,8.88438322842897,8.92071251658806,8.96572591203985
"Polr2f",8.83243656966834,8.75248354676593,8.82420247152283,8.59466490357262,8.85150829111155,8.85962448226551,8.8591279325009,8.89077850842682
"Ube2v1",9.65429876361817,9.46132657490397,9.69451808103555,9.66867069091883,9.66622258230275,9.52421754725657,9.39344129948115,9.40583902264703
"Gbf1",8.16070805899314,8.40286335652677,8.37048587307827,8.22350607882598,8.30535851764186,8.2003458623886,7.98042911604713,8.22695484752614
"Fryl",8.30258333954918,8.0817890679918,8.10279106857911,8.18567328951077,7.87367000426223,7.79905245606921,8.08620547803599,8.08497398268693
"Tmem234",9.86221021941077,9.67394644163442,9.52280047867451,9.51217077710346,9.69271469991291,9.51288510029598,9.32826799853062,9.59526350587729
"Ube2r2",9.47793955305566,9.46830268422558,9.12643810455473,9.40126233989985,9.73543451087187,9.3437776431698,9.17811480425745,9.6698208373234
"Itch",8.71106144796547,8.6513958154434,8.26737408506397,8.41603762773378,8.56216811206266,8.45447244776502,8.44512081900072,8.53184032052667
"Rbbp7",10.4221395803788,10.4367931468214,10.4393829454053,10.4959616265228,10.6490525598918,10.5770699035583,10.6927885275515,10.7551012606701
"Aldh3a2",7.12353180652827,7.32638696968867,7.38373945233792,7.60897486224589,7.24294608631658,7.15524285693381,7.28957555341896,7.33479358978916
"Pnliprp1",4.1820540656937,4.17039147756606,4.49567035010237,4.44733612625805,4.17646687535735,4.17654131481032,4.30423737106661,4.2587685481497
"Actg1",12.1114930386649,11.9159288866205,11.4443673506982,11.7288742233977,11.4317454841444,11.6838464787205,11.4073848855054,11.7530422527692
"LOC101056240",12.5100869113565,12.4113377906565,12.2846946277139,12.4311418488408,12.4585743283215,12.3836135812515,12.4827375593549,12.6761579909498
"Vps35",9.46646203628508,9.67640371952328,9.82308489961281,9.5586939384275,9.70878837023882,9.78476967072247,9.80098404928561,9.7623731225451
"Pgc",4.93870922143488,4.96616649050773,5.15038769642639,4.75288488112178,5.00896113877481,5.06154724877091,5.26918889373929,5.01863817964169
"Ganab",7.59864117832768,7.46731645638395,7.62770551667138,7.51102668881956,7.85813702783892,7.56262075382655,7.28701362279492,7.52931776573485
"Ublcp1",8.40767372272762,8.53892926084152,8.57620651385767,8.55294608373908,8.67400274525485,8.7539388521181,8.78645362080257,8.77677581685728
"Rnf34",8.14460843585712,8.41180712320675,8.40398599336562,8.20909020918067,8.22490975546792,8.52269933509787,8.78594778743187,8.58696652943868
"Rbck1",9.17067620949932,8.90572550971567,8.98306941398173,9.26984504190272,9.10567467352911,9.02600666320029,9.20995617419629,9.19361504874576
"Pnpo",8.24824335315135,8.16379557328073,8.48023417681887,8.44535831956809,8.57557963416708,8.52332491119768,8.76260182324377,8.30852028860563
"Dazap2",10.3898801732845,9.98786541236204,10.3422498258853,10.6093568935137,10.5211819974848,10.5402651316977,10.5661029519363,10.3685054793398
"Wbp11",8.34977527694334,8.20878986579892,8.14022445303994,8.16765026306257,8.33941935648573,8.31304935466295,8.24123098907308,8.2570934274302
"Slc16a1",12.3491325832041,12.2685318540306,12.0222319990932,11.8773574552357,12.4180468912379,12.5721150016607,12.2812977678341,12.3288678720823
"Clps",4.82196212901766,4.69649780560861,5.1740969082288,4.80633947424179,4.89515548414468,4.88695068589374,4.98201955797245,4.72114562769776
"Plat",5.65313341148773,5.69035292155467,5.68856717060639,5.52911713316258,5.74160954998658,5.56258954526469,5.64598853225687,5.48183591222038
"Tpbpa",4.08263302427678,4.18062822854884,4.3388518826777,4.18646912749975,4.1556974294125,4.02156112811564,4.19367140795704,4.11518228126467
"Uhrf1",4.48043856468127,4.61813074313988,4.73115893391144,4.75678660163761,4.64270775149852,4.81531325054838,4.63900019605899,4.51499130894629
"Cct7",10.1077896582562,9.87199038032897,9.37345709638947,9.48510261708767,9.62557583506018,9.63650091682758,9.39429763270948,9.77806410742853
"Nono",9.46747204917428,9.55395498563112,9.53912306324165,9.59556965116972,9.50781340700251,9.4356915049594,9.58930451784936,9.46815381529549
"Nptn",9.9567508462665,10.0657711434272,10.1709156374541,10.2078038026794,10.4037742982082,10.2864532230718,10.0266838867376,10.2447776734303
"Scd2",11.2242130599758,11.645248082663,10.3840320828443,11.0058600815084,10.2732181959058,11.0718159625235,10.7901277988519,11.0821618179323
"Atp6v1h",9.079248493164,9.17030716481985,9.21706016174604,9.16056073990824,9.2584362443838,9.10625078729306,8.77179151247144,8.9517879674523
"Serp1",10.6566576064539,10.4626349821675,10.630118615367,10.5843393585984,10.5009173975382,10.7113540546062,10.8810400646464,10.6773430649458
"Lbr",7.80821989329636,7.46395826087884,7.00722409932003,7.26486882432094,7.17321200140144,7.10492902871388,7.2267580127871,7.55694818348518
"Orc5",7.66256050310785,7.77257916747775,7.53319164751654,7.83227825771329,7.44332260950485,7.60490373266882,7.76450918002461,7.84006360487301
"Psmd2",10.9415959610539,11.0625200304121,11.0606002891832,11.1451195256208,10.8985624666094,10.8074341392979,10.6698598918277,10.7632475621674
"Agtr2",3.55635767744851,3.67186886356317,3.69759992073925,3.70818778793148,3.5909562128532,3.64762132307223,3.62248084392215,3.5668969652834
"Rps29",13.403210815972,13.2446346371917,13.1354785967545,13.1829290571344,13.3792174724206,13.3604488714524,13.3336546153349,13.3754029110276
"Dusp6",10.4990406226149,10.1097192817565,8.71004012127357,8.13789744457052,9.75602251000576,9.74149137380862,8.39038265704429,8.54145339134928
"Prl3b1",4.06154439748113,4.06154439748113,4.02983334312085,4.1982289279667,4.16334439108131,3.9787792721599,4.00479888932183,4.16955562422954
"Klk1",4.36200365529941,4.77743339277864,4.87586818958515,4.67697289688919,4.24162955911529,4.37762232308187,4.5825360122765,4.40454233517309
"Npm1",9.00086490687133,9.01459177045965,8.78958261426247,8.89457063515427,9.11980640423457,9.06710673901174,9.14469992999884,9.25587011681325
"Elovl5",11.9502730165238,11.5264609216255,11.2607566480781,11.2103709641065,10.7986614613149,10.7613760789669,11.1647127215744,11.30079694149
"Dync1i2",9.17269327009793,9.03768449073917,9.01928436636434,8.97916410035455,9.05739990695087,9.15606689171365,9.04795847021462,9.16339683633461
"Mlst8",6.15435151158916,6.27911229515737,6.55718581962291,6.65039852645492,6.30101739685924,6.62224045597753,6.40328832968627,6.24404091122519
"Syt4",4.08313527335067,3.80101828662894,3.91178873284863,4.10115872989829,3.84357287864572,3.89861560721332,4.04283477284052,3.82206212236254
"Ldhc",4.43850158806199,4.48291599652612,4.64370302513906,4.46839765744724,4.39878421506978,4.70186109886872,4.52283685097187,4.45775846688343
"Prl3d1",5.8354728205156,6.01046806390736,6.24238614260855,6.1182347057944,6.07213115678087,5.85202375186101,6.10242077674906,5.81473728497127
"Stmn1",6.91091250795341,6.68223766879212,6.9028945238504,6.70554060484843,6.89598756918396,6.83593177769998,6.82038495945267,6.99615810923349
"Rasa3",7.92275522672061,8.09389013632588,7.05970418382435,7.35475054599909,6.88168089114517,7.43086146639021,7.64538189836363,7.38175386773083
"Gm15210",8.85486747962807,8.71867277217626,8.80254891828707,8.80778621695981,8.71156373587845,8.77877438411817,8.75270352320581,8.84886834983441
"Def8",7.46300932504138,7.53533362765966,7.69921394717703,7.46445646996752,7.69598671650226,7.7091856421979,7.41364189052153,7.76835393074225
"Emb",5.54280595311471,5.39422088466002,5.66583484703528,5.40192432024326,5.55916922038731,5.64993695455621,5.82785119280216,5.556691995159
"Kpna2",8.31961341854606,8.50060557284332,8.20993327433919,8.38776403784036,8.13901904298432,8.6465282899384,8.0248985206916,8.27236081449158
"Tyrp1",4.38833768000002,4.30370813678678,4.46253608185652,4.35510967259752,4.36203369477252,4.2358232363016,4.44203403477598,4.45837496063178
"Bpgm",7.48775068282244,7.17736984962002,7.18829485409221,7.25283498219852,7.40408386525333,7.34308463040594,7.60561318580609,7.43774494349941
"Trim28",8.543826050822,8.55610852113776,8.03121762763244,8.40960121483078,8.41768271403003,8.20864576654396,8.10484025700996,8.5228395260038
"Calu",10.5751513876869,10.3689832796271,10.2878970326971,10.4073132328565,10.7768841125631,10.6526851923992,10.357567838989,10.6239643191761
"Actr1a",9.58956426388585,9.46772381362567,9.63499733634912,9.7905244931822,9.61122893712632,9.5750265546653,9.44201089426936,9.51934434291322
"Spry1",7.75646065115827,7.9331860660016,6.95596171679465,7.14214321359599,6.85285430939965,6.91410588309261,6.93621543247897,7.4989323161341
"3010003L21Rik",4.44790928602194,4.50884859568374,4.44440554803913,4.42422575938791,4.53044803906457,4.51769206168944,4.47015378748961,4.39446166564469
"Rps26",11.9509362766134,11.8042516441655,11.651652240501,11.6662530339744,12.0730906429177,12.2058554268698,12.0544337212255,12.1372213355383
"Dpysl3",5.21717817828311,5.0804381016218,5.12864571323552,4.87978056151466,4.99335529751172,4.9569455137219,5.15676457866617,5.06457708567598
